kms:CancelKeyDeletion
kms:ConnectCustomKeyStore
kms:CreateAlias
kms:CreateCustomKeyStore
kms:CreateGrant
kms:CreateKey
kms:DeleteAlias
kms:DisableKey
kms:DisableKeyRotation
kms:DisconnectCustomKeyStore
kms:EnableKey
kms:EnableKeyRotation
kms:PutKeyPolicy
kms:RetireGrant
kms:RevokeGrant
kms:ScheduleKeyDeletion
kms:TagResource
kms:UntagResource
kms:UpdateAlias
kms:UpdateCustomKeyStore
kms:UpdateKeyDescription
