kms:Encrypt
kms:GenerateDataKey
kms:GenerateDataKeyPair
kms:GenerateDataKeyPairWithoutPlaintext
kms:GenerateDataKeyWithoutPlaintext
kms:GenerateRandom
kms:ImportKeyMaterial
kms:ReEncryptFrom
kms:ReEncryptTo
kms:Sign
